,Date,Time,Open,High,Low,Close,Total Volume,Period Volume
3918,2008-06-16,09:49:00,135.76,135.78,135.7,135.72,23779911.0,341203.0
3919,2008-06-16,09:50:00,135.71,135.78,135.65,135.65,24686556.0,900145.0
3920,2008-06-16,09:51:00,135.66,135.69,135.61,135.64,25672573.0,985817.0
3921,2008-06-16,09:52:00,135.65,135.72,135.62,135.72,25887618.0,215045.0
3922,2008-06-16,09:53:00,135.71,135.8,135.7,135.75,26115555.0,227937.0
3923,2008-06-16,09:54:00,135.74,135.79,135.73,135.76,26564874.0,449319.0
3924,2008-06-16,09:55:00,135.75,135.95,135.75,135.9,27507772.0,942898.0
3925,2008-06-16,09:56:00,135.9,135.95,135.85,135.87,27839265.0,331493.0
3926,2008-06-16,09:57:00,135.87,135.9,135.77,135.77,28162057.0,322792.0
3927,2008-06-16,09:58:00,135.77,135.92,135.76,135.91,29109638.0,947581.0
3928,2008-06-16,09:59:00,135.91,135.91,135.77,135.79,29411326.0,301688.0
3929,2008-06-16,10:00:00,135.8,135.9,135.79,135.82,30070387.0,659061.0
3930,2008-06-16,10:01:00,135.82,135.88,135.72,135.88,30792561.0,722074.0
3931,2008-06-16,10:02:00,135.87,135.92,135.8,135.8,31129861.0,337300.0
3932,2008-06-16,10:03:00,135.79,135.8,135.73,135.74,31515965.0,386104.0
3933,2008-06-16,10:04:00,135.74,135.84,135.72,135.81,31799355.0,283390.0
3934,2008-06-16,10:05:00,135.82,135.87,135.77,135.79,32282597.0,483242.0
3935,2008-06-16,10:06:00,135.78,135.79,135.66,135.69,32641720.0,359123.0
3936,2008-06-16,10:07:00,135.7,135.76,135.63,135.66,33176460.0,534740.0
3937,2008-06-16,10:08:00,135.67,135.85,135.67,135.84,33856977.0,680517.0
3938,2008-06-16,10:09:00,135.85,136.07,135.84,135.96,35017073.0,1160096.0
3939,2008-06-16,10:10:00,135.96,136.06,135.92,135.99,35618922.0,601849.0
3940,2008-06-16,10:11:00,136.0,136.02,135.89,135.95,37131238.0,1512116.0
3941,2008-06-16,10:12:00,135.95,135.99,135.92,135.99,39243343.0,1612105.0
3942,2008-06-16,10:13:00,136.0,136.05,135.95,136.05,39964008.0,720665.0
3943,2008-06-16,10:14:00,136.04,136.16,136.03,136.05,40962078.0,998070.0
3944,2008-06-16,10:15:00,136.04,136.12,136.0,136.11,41550849.0,588771.0
3945,2008-06-16,10:16:00,136.11,136.17,136.09,136.09,42134869.0,584020.0
3946,2008-06-16,10:17:00,136.08,136.14,136.06,136.07,42935739.0,800870.0
3947,2008-06-16,10:18:00,136.06,136.14,136.05,136.14,43557662.0,621923.0
3948,2008-06-16,10:19:00,136.13,136.21,136.09,136.2,44659781.0,602119.0
3949,2008-06-16,10:20:00,136.21,136.26,136.19,136.25,45334449.0,674668.0
3950,2008-06-16,10:21:00,136.24,136.29,136.15,136.15,46421300.0,1086751.0
3951,2008-06-16,10:22:00,136.15,136.17,136.1,136.13,46879394.0,458094.0
3952,2008-06-16,10:23:00,136.13,136.2,136.11,136.2,47540935.0,660608.0
3953,2008-06-16,10:24:00,136.19,136.2,136.15,136.17,47835848.0,269913.0
3954,2008-06-16,10:25:00,136.16,136.17,136.04,136.07,48299799.0,463951.0
3955,2008-06-16,10:26:00,136.07,136.1,136.02,136.03,48814678.0,514879.0
3956,2008-06-16,10:27:00,136.03,136.07,136.02,136.03,48954929.0,140251.0
3957,2008-06-16,10:28:00,136.03,136.09,136.01,136.08,49480358.0,525429.0
3958,2008-06-16,10:29:00,136.07,136.11,136.05,136.09,49839301.0,338843.0
3959,2008-06-16,10:30:00,136.09,136.15,136.07,136.11,49995760.0,156459.0
3960,2008-06-16,10:31:00,136.12,136.16,136.08,136.09,51112530.0,1116770.0
3961,2008-06-16,10:32:00,136.1,136.13,136.05,136.07,51599465.0,486635.0
3962,2008-06-16,10:33:00,136.07,136.1,136.07,136.07,52256345.0,156880.0
3963,2008-06-16,10:34:00,136.07,136.1,135.99,136.01,52814173.0,557828.0
3964,2008-06-16,10:35:00,136.01,136.04,135.99,136.0,53100438.0,286265.0
3965,2008-06-16,10:36:00,135.99,136.02,135.98,135.99,53248690.0,138252.0
3966,2008-06-16,10:37:00,135.98,136.02,135.95,135.98,53587844.0,339154.0
3967,2008-06-16,10:38:00,135.98,136.01,135.96,135.97,53696313.0,108469.0
3968,2008-06-16,10:39:00,135.97,135.98,135.93,135.94,53846810.0,150497.0
3969,2008-06-16,10:40:00,135.93,136.01,135.93,135.94,54286699.0,439889.0
3970,2008-06-16,10:41:00,135.94,136.03,135.94,136.01,54564933.0,278234.0
